cityId,PlainsHills,PlainsMountain,PlainsHillsBonus,PlainsRainforest,Plains,PlainsHillsWoodsLux,DesertHillsLux,PlainsWoods,PlainsWheat,PlainsHillsRainforest,Grassland,PlainsHillsWoods,DesertHills,PlainsRainforestBonus,CoastandLake,GrasslandHillsLux,DesertMountain,Desert,PlainsHillsLux,CoastandLakeBonus,GrasslandWoods,GrasslandHillsStone,GrasslandMarsh,GrasslandHills,GrasslandCattle,GrasslandStone,GrasslandLux,Ocean,Tundra,GrasslandHorses,Snow,GrasslandWoodsBonus,GrasslandHillsWoods,PlainsRainforestLux,GrasslandRice,PlainsLux,GrasslandMountain,CoastandLakeReef,DesertFloodplainsLux,DesertFloodplains,CoastandLakeLux,CoastandLakeReefBonus,PlainsHorses,DesertHillsBonus,TundraWoods,TundraBonus,TundraMountain,GrasslandHillsBonus,CoastandLakeReefLux,PlainsWoodsBonus,DesertFloodplainsWheat,GrasslandMarshRice,PlainsHillsRainforestBonus,GrasslandWoodsLux,PlainsWoodsLux,TundraHills,PlainsHillsRainforestLux,GrasslandMarshLux,DesertLux,GrasslandHillsWoodsLux,TundraWoodsLux,GrasslandHillsWoodsBonus,TundraHillsBonus,DesertOasis,PlainsHillsWoodsBonus,TundraHillsWoods,TundraHillsLux,hasRiver,cityHasRiver
21,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,0.0,0.0,0.0,5.26,15.79,0.0,15.79,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,10.53,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84,1.0
22,5.26,0.0,0.0,0.0,31.58,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,1.0
23,36.84,0.0,0.0,0.0,15.79,0.0,0.0,21.05,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,1.0
24,10.53,10.53,0.0,0.0,21.05,0.0,0.0,5.26,0.0,0.0,0.0,10.53,0.0,0.0,21.05,0.0,0.0,5.26,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,5.26,5.26,21.05,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,5.26,0.0,10.53,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42,1.0
27,0.0,0.0,0.0,0.0,10.53,0.0,0.0,10.53,0.0,0.0,15.79,5.26,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,15.79,0.0,5.26,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,1.0
28,0.0,0.0,0.0,63.16,10.53,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42,1.0
29,5.26,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
30,5.26,0.0,0.0,0.0,52.63,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.37,1.0
