cityId,cultureScore,goldTotal,productionTotal,goldScore,scienceTotal,cityScore,cultureTotal,productionScore,foodScore,cityTotal,foodTotal,scienceScore
234,1,370.05000000000024,485.0500000000002,1,183.83999999999995,1,247.71000000000006,0,0,32,402.0,0
235,1,473.0,579.9999999999998,1,282.8100000000001,1,172.01000000000013,1,0,35,336.0,1
236,1,302.75,523.4999999999998,0,263.21999999999986,1,271.0,1,0,37,456.0,1
237,1,455.74999999999994,523.85,1,202.94000000000005,1,191.99000000000012,1,0,38,478.0,1
238,0,460.9500000000001,186.45000000000002,1,150.22000000000014,0,142.52,0,0,15,190.0,0
239,0,309.94999999999993,178.09999999999997,0,193.03,0,163.06000000000003,0,1,28,557.0,0
240,0,268.3,156.5,0,173.39999999999998,0,153.54000000000002,0,0,18,414.0,0
241,0,271.05,138.00000000000006,0,191.44,0,155.12000000000003,0,1,23,581.0,0
242,0,250.75,135.30000000000007,0,181.47,0,145.62000000000003,0,1,15,505.0,0
243,1,343.3500000000001,196.35000000000008,0,164.77999999999992,0,200.50999999999976,0,0,20,287.0,0
244,0,287.25,165.45000000000002,0,151.27000000000012,0,142.88000000000002,0,0,10,214.0,0
245,0,250.75,228.70000000000007,0,181.47,0,163.62000000000003,0,0,22,490.0,0
246,0,302.70000000000016,156.09999999999994,0,176.01999999999998,0,154.76000000000005,0,0,21,445.0,0
247,0,360.09999999999997,549.6,1,174.79999999999998,0,138.68,1,0,24,393.0,0
248,1,300.5,509.6499999999998,0,210.07999999999998,1,175.08999999999997,1,1,35,548.0,1
249,0,337.9999999999999,484.9,0,177.38,0,121.66000000000004,0,0,23,439.0,0
250,1,340.25,757.6,0,192.38000000000005,1,218.80000000000024,1,0,34,407.0,0
251,0,387.09999999999997,423.1000000000001,1,180.32,0,119.33999999999996,0,0,20,348.0,0
252,0,373.04999999999984,431.5999999999998,1,278.30000000000007,0,93.36999999999992,0,0,23,304.0,1
253,0,362.3499999999996,449.9500000000002,1,192.56999999999988,0,104.54999999999991,0,0,25,449.0,0
254,0,266.34999999999997,146.34999999999997,0,178.95,0,152.9,0,0,19,428.0,0
255,0,254.5,254.0,0,172.55999999999997,0,161.49999999999997,0,0,17,375.0,0
256,0,343.35000000000014,205.69999999999996,0,170.05999999999992,0,160.75000000000003,0,0,21,331.0,0
257,0,266.25,199.34999999999997,0,173.55999999999992,0,158.35000000000002,0,0,19,380.0,0
258,0,252.0,148.0499999999999,0,178.35999999999999,0,155.90000000000003,0,0,19,488.0,0
259,0,352.0999999999999,217.99999999999997,0,157.22000000000003,0,149.12000000000012,0,0,17,273.0,0
